vuosi, year
 aika, time
 asia, thing
 osa, part
 ihminen, man
 jälkeen, after
 euro, euro
 työ, work
 maa, land
 lapsi, child
 tieto, knowledge
 alue, area
 päivä, day
 toiminta, action
 käyttö, use
 mieli, mind
 kaupunki, city
 prosentti, percentage
 kunta, municipality
 mies, man
 yritys, company
 paikka, place
 tapa, custom
 kuva, picture
 maailma, world
 hallitus, government
 puoli, half
 viesti, message
 auto, car
 klo,
 yhteys, connection
 määrä, amount
 hinta, price
 viikko, week
 syy,
 raha, money
 koulu, school
 nainen, woman
 mahdollisuus,
 apu, help
 kerta, time
 tilanne, situation
 tulos, result
 alku, beginning
 tutkimus, research
 elämä, life
 tavoite, target
 palvelu, service
 loppu, end
 yhtiö, company
 valtio, state
 tehtävä, mission
 päätös, decision
 ongelma, problem
 tila, state
 henkilö, person
 nimi, name
 ohjelma, program
 oy, Ltd
 muutos, change
 koulutus, training
 peruste,
 kohta, part, spot
 opiskelija, student
 jäsen, member
 kysymys, question
 talous, economy
 kurssi, course
 kanta, base
 hetki, moment
 yliopisto, university
 yhteistyö, cooperation
 huomio, attention
 poliisi, police
 puheenjohtaja, chairman
 tuote, product
 tarkoitus, meaning
 matka, trip
 kirja, book
 tapaus, case
 käytäntö, practice
 kuukausi, month
 ryhmä, group
 kokous, meeting
 kausi, season
 ottelu, match
 taso, level
 ala, area
 välillä,
 oikeus, right
 kehitys, development
 tunti, hour
 pari, pair
 sopimus, agreement
 kyse, matter
 kesä, summer
 joukkue, team
 maali, paint
 tapahtuma, event
 sivu, page
 joukko, troops
 vesi, water
 työntekijä, worker
 vaikutus, effect
 peli, game
 kehittäminen,
 kasvu, growth
 käyttäjä, user
 asunto,
 opettaja, teacher
 hoito, care
 keskustelu, conversation
 perhe, family
 tie, road
 laki, law
 asiakas, customer
 ratkaisu, solution
 tulevaisuus, future
 syksy, autumn
 keskusta, center
 merkitys, importance
 kulttuuri, culture
 johtaja, manager
 arvo, value
 talo, house
 hanke, project
 kokemus, experience
 pankki, bank
 kansa,
 kieli, language
 asema, status
 esitys, presentation
 kello, clock
 pää, head
 sana, word
 tuki, support
 osuus, share
 kirkko, church
 rakentaminen, construction
 vaihe, stage
 sijaan,
 lehti, leaf
 kauppa, trade
 myynti, sales
 pohja, bottom
 ero, difference
 liitto, union
 voitto, profit
 käsi, hand
 historia, history
 rakennus, building
 lauantai, Saturday
 kilpailu, competition
 kustannus, publishing
 koti, home
 projekti, project
 yhteiskunta, society
 malli, model
 johto, management
 markka, mark
 ympäristö, environment
 aihe, subject
 edustaja, representative
 seura, company
 tarve, need
 suhde, ratio
 suunta, direction
 metri, meter
 järjestelmä, system
 sisältö, contents
 raja, limit
 verran,
 vaihtoehto, option
 opetus, teaching
 puolue, party
 palkka, pay
 työpaikka, job, workplace
 tekijä, author
 sunnuntai, Sunday
 etu, advantage
 tekeminen, making
 perjantai, Friday
 juttu, thing, case
 musiikki, music
 ääni, sound
 minuutti, minute
 toimi, action
 laitos, institution
 sarja, series
 ilta, evening
 vastuu, responsibility
 kevät, spring
 poika, son
 elokuva, movie
 presidentti, president
 suunnittelu, design
 jatko,
 ehdotus, proposal
 äiti, mother
 ulkomaa, abroad
 asukas, resident
 muoto, form
 vara,
 ruoka, food
 toimitusjohtaja, managing director
 päälle,
 kohde, target
 vero, tax
 kilometri, kilometer
 liikenne, traffic
 markkinat, fair
 isä, father
 ajatus, thought
 luokka, class
 henki, spirit
 kansalainen, citizen
 laatu, quality
 kunto, condition
 toimittaja, supplier
 pelaaja, player
 nousu, rise
 kone, machine
 koira, dog
 osasto, department
 käsittely, handling
 lasku, decrease
 kirjasto, library
 sota, war
 voima, force
 tiistai, Tuesday
 tuotanto, production
 suunnitelma, plan
 velka, debt
 piste, point
 maanantai, monday
 teksti, text
 tutkija, researcher
 yhdistys, association
 selvitys,
 silmä, eye
 lääkäri, doctor
 vastaus, answer
 keino, means
 kappale, piece
 luonto, nature
 tulo, product
 torstai, Thursday
 oppilas, pupil
 keskiviikko, wednesday
 laite, device
 media, media
 valo, light
 maksu, payment
 erä, batch
 kisa, competition
 politiikka, policy
 ohje, instruction
 rooli, role
 toukokuu, may
 teos, work
 vaatimus, requirement
 asiantuntija, expert
 tilaisuus, opportunity
 merkki, mark
 maaliskuu, march
 valtuusto, council
 puu, tree, wood
 yö, night
 työnantaja, employer
 esimerkki, example
 omistaja, owner
 seuraus, consequence
 piiri,
 ansio, merit, income
 yleisö, audience
 laji, species
 metsä, forest
 valinta, selection
 sairaala, hospital
 numero, number
 tausta, background
 aikuinen, adult
 huhtikuu, April
 kirjoittaja, writer
 rahoitus, funding
 näkökulma, perspective
 ry,
 potilas, patient
 valta, power
 virka,
 eduskunta,
 kylä, village
 elokuu, august
 energia, energy
 professori, professor
 opinto,
 tammikuu, January
 laina, loan
 viranomainen,
 materiaali, material
 yhteisö, community
 tyttö, girl
 sähköposti, e-mail
 lautakunta, board
 henkilöstö, personnel
 linja, line
 pääministeri, prime minister
 aineisto, material
 syyskuu, september
 lausunto, statement
 kiinteistö,
 etusivu, front page
 pinta, surface
 ura, career
 talvi, winter
 tarina, story
 maakunta, province
 kenttä, field
 arvio, estimate
 kunnanhallitus,
 lukio,
 työryhmä, working group
 verkko, network
 periaate, principle
 helmikuu, February
 osaaminen,
 hallinta,
 yrittäjä, entrepreneur
 liite, appendix
 ystävä, friend
 idea, idea
 kokonaisuus, whole
 meno, going
 marraskuu, November
 hyöty, benefit
 levy, plate
 liike, movement
 turvallisuus, safety
 teollisuus, industry
 aine, substance
 jakso, period
 artikkeli, article
 vaalit,
 taito, skill
 homma,
 riski, risk
 ehto, condition
 opiskelu, study
 järjestö, organization
 sääntö, rule
 ilmoitus, advertisement
 uutinen, news
 lokakuu, october
 kuluttaja, consumer
 edellytys, prerequisite
 vanhempi, parent
 arviointi, evaluation
 terveys, health
 toteuttaminen, realization
 video, video
 kesäkuu, june
 ominaisuus, quality
 kansanedustaja,
 työelämä, working life
 ranta, shore
 unioni, union
 kotimaa, homeland
 rakenne, structure
 henkilökunta, staff
 ovi, door
 kuolema, death
 hyvinvointi, well-being
 näkemys, view
 sektori, sector
 tavara, goods
 lista, list
 kaveri, guy
 tontti, plot
 aamu, morning
 luku, number
 kierros, round
 ravintola, restaurant
 kokoomus, coalition
 joulukuu, December
 toimisto, office
 väli, space
 pakko,
 vauhti, velocity
 toimenpide,
 dollari, dollar
 käynti,
 huoli, worry
 korko, interest
 lippu, flag
 taho,
 hallinto, administration
 valmentaja, coach
 liikevaihto, revenue
 toimiala, industry
 tähti, star
 haastattelu, interview
 puhe, speech
 seutu, region
 raportti,
 eläin, animal
 viikonloppu, weekend
 seurakunta, parish
 piha, yard
